MerchantID,MerchantName,Address
1,Clothing Store Corp,"222 Main St, Chicago, IL 47981"
2,Restaurant Inc,"750 Main St, Los Angeles, IL 43429"
3,Coffee Shop Group,"886 Main St, Houston, IL 82344"
4,Electronics Store Group,"944 Main St, Chicago, IL 73750"
5,Pharmacy Inc,"527 Main St, New York, AZ 69393"
6,Grocery Store Group,"859 Main St, Phoenix, AZ 71613"
7,Gas Station LLC,"144 Main St, Los Angeles, IL 75162"
8,Coffee Shop Co,"976 Main St, Houston, TX 59022"
9,Restaurant Inc,"646 Main St, Houston, TX 55038"
10,Gas Station Inc,"240 Main St, New York, CA 91043"
11,Clothing Store LLC,"997 Main St, Los Angeles, CA 34987"
12,Coffee Shop Corp,"231 Main St, Los Angeles, AZ 45754"
13,Hotel Group,"268 Main St, Houston, IL 93995"
14,Pharmacy Corp,"684 Main St, Houston, NY 32373"
15,Gas Station Group,"410 Main St, New York, AZ 44537"
16,Restaurant Corp,"601 Main St, Phoenix, IL 55579"
17,Hotel LLC,"545 Main St, Los Angeles, TX 41586"
18,Retail Store Corp,"571 Main St, Los Angeles, NY 89245"
19,Hotel LLC,"472 Main St, New York, AZ 18362"
20,Grocery Store Corp,"592 Main St, Phoenix, CA 32786"
21,Hotel Group,"976 Main St, Houston, CA 69121"
22,Coffee Shop Corp,"622 Main St, Los Angeles, TX 43653"
23,Grocery Store Corp,"622 Main St, Houston, NY 63655"
24,Clothing Store Co,"132 Main St, Los Angeles, NY 53505"
25,Pharmacy LLC,"137 Main St, Phoenix, TX 11844"
26,Pharmacy Group,"177 Main St, Chicago, NY 43549"
27,Pharmacy Co,"356 Main St, Los Angeles, TX 44984"
28,Pharmacy Inc,"799 Main St, Houston, CA 16681"
29,Coffee Shop Inc,"132 Main St, Phoenix, AZ 81567"
30,Gas Station Corp,"730 Main St, New York, IL 24385"
31,Restaurant Corp,"883 Main St, New York, NY 42240"
32,Coffee Shop Corp,"110 Main St, Houston, NY 73414"
33,Grocery Store Corp,"509 Main St, Los Angeles, AZ 48575"
34,Electronics Store Group,"136 Main St, Chicago, TX 81072"
35,Pharmacy Corp,"970 Main St, New York, CA 43147"
36,Pharmacy Inc,"510 Main St, Chicago, TX 32947"
37,Restaurant LLC,"151 Main St, Houston, AZ 74434"
38,Coffee Shop Corp,"488 Main St, Houston, TX 79861"
39,Grocery Store Group,"499 Main St, Phoenix, NY 48028"
40,Electronics Store LLC,"594 Main St, Houston, CA 90193"
41,Pharmacy Corp,"162 Main St, Phoenix, CA 22131"
42,Gas Station Group,"898 Main St, Houston, IL 10670"
43,Coffee Shop Co,"724 Main St, Los Angeles, CA 61479"
44,Clothing Store Group,"888 Main St, Los Angeles, IL 65303"
45,Clothing Store Co,"271 Main St, Los Angeles, CA 98739"
46,Retail Store LLC,"847 Main St, Houston, AZ 36691"
47,Grocery Store Corp,"767 Main St, Chicago, CA 60230"
48,Grocery Store Corp,"684 Main St, Chicago, TX 58221"
49,Grocery Store Inc,"445 Main St, Los Angeles, AZ 91185"
50,Hotel Group,"150 Main St, Houston, CA 37615"
51,Electronics Store Inc,"534 Main St, Los Angeles, NY 88003"
52,Gas Station Group,"715 Main St, New York, TX 48953"
53,Electronics Store Co,"940 Main St, Los Angeles, AZ 20699"
54,Clothing Store Co,"620 Main St, Chicago, IL 63548"
55,Grocery Store LLC,"519 Main St, Houston, CA 84009"
56,Coffee Shop LLC,"622 Main St, Chicago, TX 71545"
57,Clothing Store Co,"732 Main St, Phoenix, CA 99167"
58,Coffee Shop Group,"240 Main St, Chicago, CA 63937"
59,Retail Store Group,"219 Main St, Chicago, IL 63395"
60,Clothing Store Corp,"523 Main St, Los Angeles, AZ 57406"
61,Grocery Store Co,"262 Main St, Chicago, CA 42960"
62,Grocery Store Group,"518 Main St, Chicago, IL 75674"
63,Gas Station Corp,"849 Main St, Houston, TX 95542"
64,Pharmacy Corp,"670 Main St, Houston, AZ 86816"
65,Gas Station Inc,"419 Main St, New York, TX 19410"
66,Pharmacy Corp,"991 Main St, New York, AZ 70888"
67,Clothing Store LLC,"684 Main St, Houston, NY 84693"
68,Restaurant Co,"642 Main St, New York, CA 16694"
69,Grocery Store Inc,"872 Main St, Chicago, NY 33336"
70,Clothing Store Corp,"615 Main St, Chicago, TX 34686"
