PaymentMethodID,Type,Description,AccountID
1,Cash Payment,Cash processing,489
2,ACH Transfer,Automated clearing house,797
3,Credit Card,Visa/MasterCard/Amex processing,1624
4,Cash Payment,Cash processing,1318
5,Wire Transfer,Electronic wire transfer,1024
6,Cash Payment,Cash processing,1977
7,ACH Transfer,Automated clearing house,1980
8,Credit Card,Visa/MasterCard/Amex processing,76
9,Wire Transfer,Electronic wire transfer,115
10,Wire Transfer,Electronic wire transfer,1614
11,Digital Wallet,PayPal/Apple Pay/Google Pay,88
12,ACH Transfer,Automated clearing house,243
13,Debit Card,Direct debit transaction,1653
14,Digital Wallet,PayPal/Apple Pay/Google Pay,1367
15,Cash Payment,Cash processing,939
16,Digital Wallet,PayPal/Apple Pay/Google Pay,1783
17,Cash Payment,Cash processing,306
18,Digital Wallet,PayPal/Apple Pay/Google Pay,1187
19,Debit Card,Direct debit transaction,1895
20,Credit Card,Visa/MasterCard/Amex processing,76
21,Digital Wallet,PayPal/Apple Pay/Google Pay,290
22,ACH Transfer,Automated clearing house,1340
23,Credit Card,Visa/MasterCard/Amex processing,966
24,Cash Payment,Cash processing,94
25,Debit Card,Direct debit transaction,1437
26,Digital Wallet,PayPal/Apple Pay/Google Pay,268
27,Credit Card,Visa/MasterCard/Amex processing,353
28,Digital Wallet,PayPal/Apple Pay/Google Pay,103
29,Wire Transfer,Electronic wire transfer,1681
30,Credit Card,Visa/MasterCard/Amex processing,935
31,Cash Payment,Cash processing,350
32,Cash Payment,Cash processing,131
33,Credit Card,Visa/MasterCard/Amex processing,234
34,ACH Transfer,Automated clearing house,1219
35,Cash Payment,Cash processing,452
36,Credit Card,Visa/MasterCard/Amex processing,1648
37,Debit Card,Direct debit transaction,873
38,Wire Transfer,Electronic wire transfer,1662
39,Digital Wallet,PayPal/Apple Pay/Google Pay,1390
40,ACH Transfer,Automated clearing house,665
41,Credit Card,Visa/MasterCard/Amex processing,1999
42,Digital Wallet,PayPal/Apple Pay/Google Pay,1180
43,Cash Payment,Cash processing,282
44,Wire Transfer,Electronic wire transfer,1714
45,Debit Card,Direct debit transaction,1566
46,Credit Card,Visa/MasterCard/Amex processing,1215
47,Debit Card,Direct debit transaction,688
48,Credit Card,Visa/MasterCard/Amex processing,248
49,Wire Transfer,Electronic wire transfer,290
50,ACH Transfer,Automated clearing house,345
51,Digital Wallet,PayPal/Apple Pay/Google Pay,758
52,Cash Payment,Cash processing,338
53,ACH Transfer,Automated clearing house,499
54,Cash Payment,Cash processing,84
55,Debit Card,Direct debit transaction,205
56,Digital Wallet,PayPal/Apple Pay/Google Pay,1255
57,ACH Transfer,Automated clearing house,1593
58,Debit Card,Direct debit transaction,33
59,ACH Transfer,Automated clearing house,166
60,Credit Card,Visa/MasterCard/Amex processing,15
61,Debit Card,Direct debit transaction,1897
62,Credit Card,Visa/MasterCard/Amex processing,1448
63,Digital Wallet,PayPal/Apple Pay/Google Pay,1216
64,Wire Transfer,Electronic wire transfer,853
65,Digital Wallet,PayPal/Apple Pay/Google Pay,1654
66,ACH Transfer,Automated clearing house,1418
67,Debit Card,Direct debit transaction,423
68,Debit Card,Direct debit transaction,1311
69,Wire Transfer,Electronic wire transfer,1072
70,ACH Transfer,Automated clearing house,844
71,Debit Card,Direct debit transaction,1922
72,Debit Card,Direct debit transaction,1251
73,Digital Wallet,PayPal/Apple Pay/Google Pay,78
74,Cash Payment,Cash processing,369
75,Digital Wallet,PayPal/Apple Pay/Google Pay,1024
76,Cash Payment,Cash processing,1947
77,Credit Card,Visa/MasterCard/Amex processing,1285
78,Wire Transfer,Electronic wire transfer,713
79,ACH Transfer,Automated clearing house,10
80,Cash Payment,Cash processing,483
81,Debit Card,Direct debit transaction,241
82,Cash Payment,Cash processing,196
83,Cash Payment,Cash processing,742
84,Cash Payment,Cash processing,1040
85,Debit Card,Direct debit transaction,951
86,Digital Wallet,PayPal/Apple Pay/Google Pay,1351
87,Debit Card,Direct debit transaction,567
88,Credit Card,Visa/MasterCard/Amex processing,397
89,Credit Card,Visa/MasterCard/Amex processing,1632
90,Debit Card,Direct debit transaction,1404
91,ACH Transfer,Automated clearing house,1019
92,Debit Card,Direct debit transaction,328
93,Digital Wallet,PayPal/Apple Pay/Google Pay,1890
94,Credit Card,Visa/MasterCard/Amex processing,111
95,Digital Wallet,PayPal/Apple Pay/Google Pay,746
96,Wire Transfer,Electronic wire transfer,430
97,ACH Transfer,Automated clearing house,515
98,Wire Transfer,Electronic wire transfer,1264
99,ACH Transfer,Automated clearing house,89
100,Credit Card,Visa/MasterCard/Amex processing,1517
101,Credit Card,Visa/MasterCard/Amex processing,1895
102,Cash Payment,Cash processing,361
103,Debit Card,Direct debit transaction,1609
104,Credit Card,Visa/MasterCard/Amex processing,994
105,Cash Payment,Cash processing,238
106,Credit Card,Visa/MasterCard/Amex processing,1834
107,Debit Card,Direct debit transaction,1478
108,ACH Transfer,Automated clearing house,1214
109,Cash Payment,Cash processing,668
110,ACH Transfer,Automated clearing house,408
111,Digital Wallet,PayPal/Apple Pay/Google Pay,1387
112,Wire Transfer,Electronic wire transfer,472
113,Credit Card,Visa/MasterCard/Amex processing,668
114,Debit Card,Direct debit transaction,201
115,Debit Card,Direct debit transaction,1511
116,ACH Transfer,Automated clearing house,1782
117,Debit Card,Direct debit transaction,770
118,Debit Card,Direct debit transaction,151
119,ACH Transfer,Automated clearing house,1199
120,ACH Transfer,Automated clearing house,112
121,ACH Transfer,Automated clearing house,297
122,Debit Card,Direct debit transaction,1901
123,Cash Payment,Cash processing,932
124,Debit Card,Direct debit transaction,794
125,Wire Transfer,Electronic wire transfer,280
126,ACH Transfer,Automated clearing house,1475
127,Debit Card,Direct debit transaction,1295
128,Wire Transfer,Electronic wire transfer,1998
129,Wire Transfer,Electronic wire transfer,415
130,Wire Transfer,Electronic wire transfer,261
131,Credit Card,Visa/MasterCard/Amex processing,1418
132,Cash Payment,Cash processing,123
133,Wire Transfer,Electronic wire transfer,280
134,Credit Card,Visa/MasterCard/Amex processing,1745
135,ACH Transfer,Automated clearing house,940
136,ACH Transfer,Automated clearing house,351
137,Wire Transfer,Electronic wire transfer,451
138,Wire Transfer,Electronic wire transfer,1237
139,Debit Card,Direct debit transaction,1617
140,Digital Wallet,PayPal/Apple Pay/Google Pay,1952
141,Cash Payment,Cash processing,1855
142,Debit Card,Direct debit transaction,1184
143,Cash Payment,Cash processing,1752
144,Debit Card,Direct debit transaction,178
145,ACH Transfer,Automated clearing house,1756
146,Cash Payment,Cash processing,1002
147,Debit Card,Direct debit transaction,1212
148,ACH Transfer,Automated clearing house,1715
149,ACH Transfer,Automated clearing house,572
150,Credit Card,Visa/MasterCard/Amex processing,1496
151,ACH Transfer,Automated clearing house,1508
152,Debit Card,Direct debit transaction,508
153,Wire Transfer,Electronic wire transfer,890
154,Cash Payment,Cash processing,456
155,Cash Payment,Cash processing,1938
156,Debit Card,Direct debit transaction,1872
157,Cash Payment,Cash processing,1840
158,Credit Card,Visa/MasterCard/Amex processing,856
159,Credit Card,Visa/MasterCard/Amex processing,83
160,ACH Transfer,Automated clearing house,1503
161,Cash Payment,Cash processing,69
162,ACH Transfer,Automated clearing house,1088
163,ACH Transfer,Automated clearing house,982
164,Digital Wallet,PayPal/Apple Pay/Google Pay,1683
165,Credit Card,Visa/MasterCard/Amex processing,927
166,ACH Transfer,Automated clearing house,493
167,Credit Card,Visa/MasterCard/Amex processing,1144
168,Credit Card,Visa/MasterCard/Amex processing,1420
169,Digital Wallet,PayPal/Apple Pay/Google Pay,833
170,Debit Card,Direct debit transaction,272
171,Wire Transfer,Electronic wire transfer,606
172,Debit Card,Direct debit transaction,1327
173,Credit Card,Visa/MasterCard/Amex processing,33
174,ACH Transfer,Automated clearing house,1371
175,Wire Transfer,Electronic wire transfer,332
176,Digital Wallet,PayPal/Apple Pay/Google Pay,941
177,Cash Payment,Cash processing,1531
178,Cash Payment,Cash processing,50
179,ACH Transfer,Automated clearing house,950
180,Debit Card,Direct debit transaction,1791
181,Digital Wallet,PayPal/Apple Pay/Google Pay,831
182,Debit Card,Direct debit transaction,1618
183,Wire Transfer,Electronic wire transfer,1284
184,ACH Transfer,Automated clearing house,1442
185,Digital Wallet,PayPal/Apple Pay/Google Pay,3
186,Digital Wallet,PayPal/Apple Pay/Google Pay,145
187,ACH Transfer,Automated clearing house,1830
188,Digital Wallet,PayPal/Apple Pay/Google Pay,682
189,Cash Payment,Cash processing,67
190,Wire Transfer,Electronic wire transfer,873
191,Wire Transfer,Electronic wire transfer,1430
192,Cash Payment,Cash processing,1111
193,Cash Payment,Cash processing,1628
194,Debit Card,Direct debit transaction,1614
195,Digital Wallet,PayPal/Apple Pay/Google Pay,166
196,Cash Payment,Cash processing,1804
197,Wire Transfer,Electronic wire transfer,1507
198,Credit Card,Visa/MasterCard/Amex processing,1055
199,Digital Wallet,PayPal/Apple Pay/Google Pay,746
200,Credit Card,Visa/MasterCard/Amex processing,228
201,ACH Transfer,Automated clearing house,749
202,ACH Transfer,Automated clearing house,1268
203,Credit Card,Visa/MasterCard/Amex processing,749
204,Wire Transfer,Electronic wire transfer,359
205,Digital Wallet,PayPal/Apple Pay/Google Pay,1145
206,Digital Wallet,PayPal/Apple Pay/Google Pay,138
207,Cash Payment,Cash processing,1453
208,Debit Card,Direct debit transaction,284
209,Wire Transfer,Electronic wire transfer,489
210,Cash Payment,Cash processing,233
211,Digital Wallet,PayPal/Apple Pay/Google Pay,980
212,Digital Wallet,PayPal/Apple Pay/Google Pay,1924
213,Cash Payment,Cash processing,1785
214,Digital Wallet,PayPal/Apple Pay/Google Pay,430
215,Digital Wallet,PayPal/Apple Pay/Google Pay,1559
216,Debit Card,Direct debit transaction,657
217,Wire Transfer,Electronic wire transfer,1839
218,Wire Transfer,Electronic wire transfer,1032
219,Digital Wallet,PayPal/Apple Pay/Google Pay,867
220,Wire Transfer,Electronic wire transfer,112
221,Credit Card,Visa/MasterCard/Amex processing,764
222,Wire Transfer,Electronic wire transfer,927
223,ACH Transfer,Automated clearing house,1027
224,Cash Payment,Cash processing,1699
225,Credit Card,Visa/MasterCard/Amex processing,963
226,Digital Wallet,PayPal/Apple Pay/Google Pay,1090
227,Digital Wallet,PayPal/Apple Pay/Google Pay,1691
228,Cash Payment,Cash processing,1843
229,Wire Transfer,Electronic wire transfer,926
230,Cash Payment,Cash processing,754
231,Digital Wallet,PayPal/Apple Pay/Google Pay,1937
232,Digital Wallet,PayPal/Apple Pay/Google Pay,1657
233,Credit Card,Visa/MasterCard/Amex processing,386
