TransactionID,Amount,Currency,Status,TransactionDate,SettlementDate,FromAccountID,ToAccountID,ClearingHouseID,PaymentMethodID
1,511,EUR,Pending,2025-01-26,2025-01-28,301,345,4,738
2,22,CAD,Settled,2025-04-22,2025-04-23,303,1153,6,748
3,64,USD,Settled,2024-12-31,2025-01-02,1989,770,7,468
4,569,EUR,Settled,2024-12-23,2024-12-25,1390,632,5,413
5,36,USD,Settled,2024-02-19,2024-02-21,741,396,4,224
6,205,CAD,Cleared,2024-12-02,2024-12-05,1833,1951,5,893
7,11938,JPY,Cleared,2024-06-11,2024-06-13,1726,1621,7,461
8,19,EUR,Cleared,2025-03-14,2025-03-15,811,356,4,824
9,15749,EUR,Cancelled,2024-07-23,2024-07-25,1094,1188,5,39
10,240,EUR,Cleared,2024-10-27,2024-10-30,249,1108,7,813
11,28,GBP,Settled,2024-12-22,2024-12-24,624,967,1,319
12,546,USD,Cancelled,2025-01-14,2025-01-16,115,592,7,868
13,59,JPY,Settled,2025-05-21,2025-05-24,373,904,2,255
14,98,USD,Settled,2024-06-15,2024-06-17,319,275,7,169
15,240,CAD,Settled,2024-09-02,2024-09-03,476,892,1,937
16,1744,USD,Settled,2025-02-01,2025-02-04,1248,541,7,598
17,273,CAD,Pending,2024-11-19,2024-11-22,1423,1409,6,519
18,341,EUR,Settled,2024-06-16,2024-06-17,618,507,5,708
19,55,EUR,Cleared,2024-03-05,2024-03-07,796,199,6,646
20,43,JPY,Settled,2024-07-08,2024-07-10,1648,1512,1,90
21,19,USD,Cleared,2024-09-24,2024-09-25,184,759,5,185
22,343,CAD,Cleared,2024-06-30,2024-07-01,1211,1069,1,733
23,9667,CAD,Cleared,2024-07-15,2024-07-16,1443,482,5,675
24,18,USD,Settled,2025-06-09,2025-06-12,1021,1628,6,19
25,38,USD,Settled,2024-11-20,2024-11-23,17,1994,6,636
26,87,USD,Cleared,2025-01-27,2025-01-29,1562,1874,7,716
27,12,EUR,Settled,2024-02-01,2024-02-03,898,470,6,667
28,15,CAD,Cleared,2024-08-09,2024-08-11,1898,1045,1,695
29,59,JPY,Settled,2025-02-25,2025-02-26,370,1267,4,508
30,85,USD,Settled,2024-04-21,2024-04-23,77,136,1,869
31,83,JPY,Settled,2024-10-20,2024-10-23,1979,217,3,436
32,24988,USD,Pending,2025-05-11,2025-05-14,408,417,7,46
33,72,GBP,Settled,2025-04-25,2025-04-27,584,1225,1,947
34,41877,EUR,Settled,2024-12-20,2024-12-23,1179,1802,5,911
35,15139,JPY,Pending,2024-06-23,2024-06-25,584,58,1,947
36,64,JPY,Cleared,2025-03-29,2025-03-30,1916,1040,3,904
37,44320,USD,Cleared,2025-06-06,2025-06-08,1728,1451,1,275
38,12,GBP,Settled,2024-08-31,2024-09-02,800,1490,7,959
39,17,USD,Cleared,2023-12-26,2023-12-28,1833,759,5,893
40,628,GBP,Settled,2025-02-03,2025-02-05,166,759,5,847
41,24,USD,Cleared,2024-09-25,2024-09-27,1049,556,4,156
42,80,GBP,Failed,2025-03-06,2025-03-08,1967,765,1,338
43,1,CAD,Cleared,2024-04-05,2024-04-08,1747,682,4,431
44,1854,GBP,Cleared,2024-09-16,2024-09-19,1989,987,7,468
45,291,CAD,Failed,2025-03-18,2025-03-21,746,906,5,162
46,43,JPY,Settled,2025-05-09,2025-05-10,872,1002,7,268
47,67,GBP,Settled,2024-08-24,2024-08-27,1481,939,1,107
48,42,CAD,Cleared,2024-06-20,2024-06-22,1703,1904,6,982
49,37732,GBP,Settled,2024-09-09,2024-09-10,336,831,5,890
50,607,USD,Settled,2025-06-22,2025-06-23,1916,1399,3,904
51,88,JPY,Cleared,2024-03-04,2024-03-06,334,969,3,119
52,37,GBP,Settled,2024-10-28,2024-10-30,663,295,2,4
53,85,JPY,Cancelled,2025-05-06,2025-05-09,898,935,6,667
54,60,USD,Settled,2025-06-26,2025-06-28,673,612,1,463
55,8,GBP,Failed,2024-10-30,2024-11-02,1382,1601,3,49
56,84,CAD,Cleared,2025-02-06,2025-02-07,405,1965,5,853
57,716,USD,Settled,2025-06-07,2025-06-08,1480,1804,6,909
58,47871,EUR,Cleared,2025-01-09,2025-01-10,501,1022,2,597
59,5732,JPY,Settled,2023-10-21,2023-10-22,1413,1432,6,20
60,35,JPY,Settled,2025-06-26,2025-06-27,1635,1541,3,115
61,9706,CAD,Cleared,2024-07-29,2024-07-31,938,1280,2,233
62,537,GBP,Settled,2024-10-20,2024-10-22,1979,248,3,436
63,45,JPY,Cleared,2024-08-16,2024-08-17,183,368,3,393
64,20,JPY,Settled,2024-09-11,2024-09-13,1560,852,1,24
65,40,EUR,Cancelled,2025-02-02,2025-02-04,781,1990,3,601
66,43798,EUR,Cleared,2024-09-22,2024-09-24,1728,82,1,275
67,59,USD,Failed,2024-08-14,2024-08-15,1501,1010,5,854
68,55,JPY,Settled,2023-06-17,2023-06-19,1282,687,7,122
